Item,policy_cluster,inventory_model,SS,ROP,EOQ,s,S,production_level
500418,Dynamic,"(s,S)",3862.3,4103.78,1803.49,4103.78,5907.27,finished_products
500419,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500420,Dynamic,"(s,S)",555.95,585.78,633.88,585.78,1219.66,finished_products
500426,Dynamic,"(s,S)",4011.04,4222.07,1685.96,4222.07,5908.02,finished_products
500429,Dynamic,"(s,S)",4037.43,4372.75,2125.19,4372.75,6497.94,finished_products
500431,MTS,EOQ-ROP,2801.33,3905.32,3856.16,3905.32,7761.48,finished_products
500434,Dynamic,"(s,S)",854.28,894.11,732.47,894.11,1626.57,finished_products
500441,Dynamic,"(s,S)",6795.3,7235.15,2434.03,7235.15,9669.18,finished_products
500459,Dynamic,"(s,S)",4723.54,4962.32,1793.41,4962.32,6755.73,finished_products
500460,Dynamic,"(s,S)",3713.43,3907.43,1616.53,3907.43,5523.97,finished_products
500461,Dynamic,"(s,S)",4228.19,4468.29,1798.32,4468.29,6266.6,finished_products
500463,Dynamic,"(s,S)",597.59,626.2,620.75,626.2,1246.94,finished_products
500464,MTS,EOQ-ROP,10145.71,16380.32,9163.82,16380.32,25544.14,finished_products
500468,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500474,Dynamic,"(s,S)",1053.7,1104.66,828.49,1104.66,1933.15,finished_products
500475,Dynamic,"(s,S)",3192.24,3345.25,1435.59,3345.25,4780.83,finished_products
500483,Dynamic,"(s,S)",3046.64,3256.5,1681.23,3256.5,4937.73,finished_products
500487,Dynamic,"(s,S)",6315.67,6791.48,2531.57,6791.48,9323.05,finished_products
500488,Dynamic,"(s,S)",1690.3,1767.77,1021.51,1767.77,2789.29,finished_products
500489,Dynamic,"(s,S)",2465.32,2694.41,1756.6,2694.41,4451.0,finished_products
500491,Dynamic,"(s,S)",4083.55,4272.35,1594.67,4272.35,5867.01,finished_products
